stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,target
fpr_diff:2,0.0205,0.0139,0.0003,0.0381,-0.0004,0.0383,0.0013,0.0125,0.05,equivalent,expert_7
delta_pp:1,-4.9961,2.2587,-7.9323,-0.403,-8.8702,0.0559,0.2137,0.0,3.0,inconclusive,expert_8
sens_diff:1,-0.03,0.0375,-0.0808,0.0418,-0.0857,0.0463,0.0064,0.0125,0.05,inconclusive,expert_8
fpr_diff:1,-0.0647,0.0182,-0.0932,-0.0313,-0.098,-0.0304,-0.0009,0.0,0.05,non-equivalent,expert_8
delta_pp:2,-4.6316,2.1121,-8.1052,-1.0572,-8.9108,-0.6355,-0.1553,0.0,3.0,non-equivalent,expert_8
sens_diff:2,-0.0465,0.027,-0.0871,0.0021,-0.0985,0.0062,0.0009,0.0,0.05,inconclusive,expert_8
fpr_diff:2,-0.0464,0.0195,-0.0744,-0.0147,-0.0858,-0.0099,-0.0032,0.0,0.05,inconclusive,expert_8
delta_pp:1,-0.3344,1.8859,-3.2891,2.3958,-3.353,3.2084,0.0975,0.825,3.0,inconclusive,expert_9
sens_diff:1,0.0158,0.0092,0.0008,0.0321,0.0001,0.0334,0.0029,0.625,0.05,equivalent,expert_9
fpr_diff:1,-0.017,0.0277,-0.057,0.0232,-0.0604,0.0318,-0.0004,0.275,0.05,inconclusive,expert_9
delta_pp:2,-3.0486,2.5335,-6.4083,0.8289,-7.1738,2.6913,-0.0566,0.0,3.0,inconclusive,expert_9
sens_diff:2,-0.022,0.0212,-0.0489,0.014,-0.0645,0.0201,0.002,0.1375,0.05,equivalent,expert_9
fpr_diff:2,-0.0363,0.0294,-0.07,0.0092,-0.0876,0.0331,-0.0022,0.0,0.05,inconclusive,expert_9
delta_pp:1,3.0296,1.334,0.8801,5.4852,0.5774,5.8266,-0.0362,0.0,3.0,non-equivalent,crowd
sens_diff:1,0.0433,0.0263,0.007,0.0931,0.0045,0.0991,0.0056,0.0,0.05,inconclusive,crowd
fpr_diff:1,0.0204,0.0089,0.0059,0.0328,0.0031,0.0369,-0.0048,0.0,0.05,equivalent,crowd
delta_pp:2,4.0971,1.6296,1.8757,7.4656,1.2773,7.9015,-0.216,0.0,3.0,non-equivalent,crowd
sens_diff:2,0.0536,0.0312,0.0118,0.1164,0.0,0.1226,-0.0003,0.0,0.05,non-equivalent,crowd
fpr_diff:2,0.0323,0.0096,0.0177,0.0451,0.0147,0.048,-0.0037,0.0,0.05,equivalent,crowd
