stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,target
delta_pp:1,3.5086,2.0763,0.8306,7.2289,0.5075,7.844,-0.0294,0.0,3.0,non-equivalent,expert_10
sens_diff:1,0.0793,0.0441,0.02,0.1556,0.0112,0.1676,-0.0,0.0,0.05,non-equivalent,expert_10
fpr_diff:1,0.0015,0.0015,-0.0007,0.0037,-0.0016,0.0049,-0.0005,0.8625,0.05,equivalent,expert_10
delta_pp:2,0.9202,0.7636,-0.0308,2.348,-0.1117,2.3698,-0.0204,0.1625,3.0,equivalent,expert_10
sens_diff:2,0.0183,0.0202,-0.0115,0.0542,-0.0137,0.0549,0.0,0.475,0.05,inconclusive,expert_10
fpr_diff:2,0.0022,0.002,-0.0002,0.0053,-0.001,0.0064,-0.0003,0.725,0.05,equivalent,expert_10
delta_pp:1,0.6839,4.7414,-3.9243,4.6458,-4.5485,5.2321,-0.1646,0.3375,3.0,inconclusive,expert_11
sens_diff:1,0.0174,0.046,-0.0596,0.0929,-0.0681,0.1026,-0.0004,0.5875,0.05,inconclusive,expert_11
fpr_diff:1,-0.0009,0.0626,-0.0331,0.0191,-0.0383,0.0256,-0.0026,0.9875,0.05,equivalent,expert_11
delta_pp:2,-0.9926,4.4004,-3.9255,1.7583,-4.2585,2.2365,-0.2078,0.3875,3.0,inconclusive,expert_11
sens_diff:2,0.002,0.0346,-0.05,0.0566,-0.0536,0.0629,-0.0022,1.0,0.05,inconclusive,expert_11
fpr_diff:2,-0.0182,0.0603,-0.0393,-0.002,-0.0452,0.0018,-0.002,0.0,0.05,equivalent,expert_11
delta_pp:1,3.3819,2.6042,-1.3224,6.867,-3.6385,7.4994,0.0185,0.0,3.0,inconclusive,expert_12
sens_diff:1,0.067,0.0523,-0.0218,0.1345,-0.065,0.1579,0.0023,0.0,0.05,inconclusive,expert_12
fpr_diff:1,0.0085,0.0078,-0.0068,0.0169,-0.0133,0.019,-0.0014,0.0125,0.05,equivalent,expert_12
delta_pp:2,1.0898,3.389,-5.2175,5.9345,-5.6184,6.6021,0.0076,0.2,3.0,inconclusive,expert_12
sens_diff:2,0.0259,0.0736,-0.1022,0.1401,-0.115,0.1557,0.0021,0.35,0.05,inconclusive,expert_12
fpr_diff:2,-0.0001,0.0073,-0.0125,0.0072,-0.0205,0.0078,-0.0014,1.0,0.05,equivalent,expert_12
delta_pp:1,5.3082,10.3817,-13.2251,20.0231,-13.7601,21.5095,0.207,0.0,3.0,inconclusive,expert_3
sens_diff:1,0.0545,0.0949,-0.1368,0.1741,-0.14,0.1876,-0.0012,0.0,0.05,inconclusive,expert_3
fpr_diff:1,0.0514,0.1139,-0.1308,0.2342,-0.1321,0.2354,0.0045,0.0,0.05,inconclusive,expert_3
delta_pp:2,-1.9456,4.6522,-9.452,4.3435,-9.9546,10.0727,0.273,0.0875,3.0,inconclusive,expert_3
sens_diff:2,-0.0463,0.0598,-0.1258,0.068,-0.1367,0.1473,0.0012,0.05,0.05,inconclusive,expert_3
fpr_diff:2,-0.0016,0.0421,-0.0744,0.0313,-0.0933,0.0706,0.0038,0.9875,0.05,inconclusive,expert_3
delta_pp:1,-0.6245,1.9561,-3.8092,2.2829,-4.0929,3.0838,0.0956,0.4625,3.0,inconclusive,expert_6
sens_diff:1,0.0087,0.0162,-0.0158,0.0325,-0.0242,0.0375,0.0054,0.9875,0.05,equivalent,expert_6
fpr_diff:1,-0.0168,0.0246,-0.0559,0.0214,-0.0585,0.0267,-0.0022,0.2125,0.05,inconclusive,expert_6
delta_pp:2,-2.3093,1.0891,-4.2436,-0.4537,-4.3294,-0.3921,0.043,0.0,3.0,inconclusive,expert_6
sens_diff:2,-0.01,0.0135,-0.0291,0.0104,-0.0315,0.0134,0.0029,0.6,0.05,equivalent,expert_6
fpr_diff:2,-0.0319,0.0123,-0.0545,-0.0146,-0.0568,-0.0086,-0.0012,0.0,0.05,inconclusive,expert_6
delta_pp:1,5.5263,5.2391,-1.9556,13.8758,-2.6274,14.2718,0.3021,0.0,3.0,inconclusive,expert_7
sens_diff:1,0.1217,0.1078,-0.0411,0.3009,-0.0557,0.3011,0.0052,0.0,0.05,inconclusive,expert_7
fpr_diff:1,0.0048,0.0098,-0.007,0.0231,-0.0071,0.0235,0.0013,0.9625,0.05,equivalent,expert_7
delta_pp:2,3.2503,3.8169,-2.1292,9.2154,-2.512,9.9694,0.0496,0.0125,3.0,inconclusive,expert_7
sens_diff:2,0.0483,0.0777,-0.0568,0.1787,-0.0682,0.1974,-0.0007,0.2375,0.05,inconclusive,expert_7
