n_per_group,ba_threshold,n_cells,n_unsafe_cells,audit_sensitivity,audit_sensitivity_lo95,audit_sensitivity_hi95,audit_specificity,audit_specificity_lo95,audit_specificity_hi95,audit_balanced_accuracy,audit_balanced_accuracy_lo95,audit_balanced_accuracy_hi95,ba_sensitivity,ba_sensitivity_lo95,ba_sensitivity_hi95,ba_specificity,ba_specificity_lo95,ba_specificity_hi95,ba_balanced_accuracy,ba_balanced_accuracy_lo95,ba_balanced_accuracy_hi95,difference,difference_lo95,difference_hi95
300,0.8,12,6,0.78,0.3292,1.0,0.5033,0.0,1.0,0.6417,0.3313,0.9167,0.1233,0.0,0.5,0.8425,0.3292,1.0,0.4829,0.3333,0.6667,0.1588,-0.2521,0.5
300,0.7,12,6,0.78,0.3292,1.0,0.5033,0.0,1.0,0.6417,0.3313,0.9167,0.0017,0.0,0.0,0.9992,1.0,1.0,0.5004,0.5,0.5,0.1412,-0.1687,0.4167
300,0.9,12,6,0.78,0.3292,1.0,0.5033,0.0,1.0,0.6417,0.3313,0.9167,0.8242,0.3333,1.0,0.155,0.0,0.6667,0.4896,0.25,0.6667,0.1521,-0.25,0.5
150,0.8,12,6,0.8075,0.3333,1.0,0.4117,0.0,0.8333,0.6096,0.3333,0.8333,0.2083,0.0,1.0,0.7725,0.1667,1.0,0.4904,0.3313,0.75,0.1192,-0.1667,0.5
150,0.7,12,6,0.8075,0.3333,1.0,0.4117,0.0,0.8333,0.6096,0.3333,0.8333,0.0208,0.0,0.1667,0.98,0.8333,1.0,0.5004,0.4167,0.5833,0.1092,-0.1667,0.3333
150,0.9,12,6,0.8075,0.3333,1.0,0.4117,0.0,0.8333,0.6096,0.3333,0.8333,0.7675,0.1667,1.0,0.2125,0.0,0.8333,0.49,0.25,0.6688,0.1196,-0.1667,0.4167
