n_per_group,evaluable,abstention,abstention_lo95,abstention_hi95,screen_accuracy,screen_accuracy_lo95,screen_accuracy_hi95,ba_accuracy_same_cells,ba_accuracy_same_cells_lo95,ba_accuracy_same_cells_hi95,difference,difference_lo95,difference_hi95,regret_ba_pp,regret_ba_pp_lo95,regret_ba_pp_hi95,regret_loss_pp,regret_loss_pp_lo95,regret_loss_pp_hi95,ba_minus_loss_regret_pp,ba_minus_loss_regret_pp_lo95,ba_minus_loss_regret_pp_hi95
300,True,0.8717,0.5,1.0,0.8247,0.0,1.0,0.1846,0.0,1.0,0.6401,-1.0,1.0,1.2343,0.064,3.4025,0.414,0.0474,2.0315,0.8203,-0.7866,3.3551
150,True,0.9062,0.6646,1.0,0.7669,0.0,1.0,0.3154,0.0,1.0,0.4515,-1.0,1.0,1.0627,0.0474,3.4025,0.5643,0.0474,3.4025,0.4984,-0.7866,3.2316
