draw,key,stat,estimate,boot_var,lo,hi,balanced_accuracy,area,full_estimate,unsafe_full,decision,ba_unsafe
0,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,1.094,0.8131,-0.2607,2.7139,0.8585,selection,-0.401,False,abstain,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,-0.1,3.7488,-3.367,3.3391,0.7825,selection,-0.8898,False,abstain,True
0,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,4.0258,2.5829,1.4664,6.7552,0.8599,selection,0.9105,False,unsafe,False
0,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,2.9516,2.8114,0.4862,5.8971,0.8703,selection,1.8188,True,abstain,False
0,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,1.5182,1.2815,-0.4536,3.186,0.8289,selection,-0.5102,False,abstain,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,0.4639,2.9219,-2.1849,3.2246,0.8381,selection,0.3366,False,abstain,False
0,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,3.9707,3.0839,1.0464,7.1805,0.8407,selection,1.8088,True,unsafe,False
0,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,0.8919,4.1769,-2.564,4.0545,0.857,selection,2.3681,True,abstain,False
0,selection|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,2.3336,1.1826,0.6448,4.271,0.8159,selection,-0.384,False,abstain,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|c,delta_pp:1,0.9533,3.5553,-2.2129,3.545,0.753,selection,1.2233,True,abstain,True
0,selection|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,4.2599,1.8855,2.01,6.2603,0.7949,selection,1.1876,True,unsafe,True
0,selection|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,4.8854,4.4716,2.3314,9.0287,0.8307,selection,3.7391,True,unsafe,False
1,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,0.3089,1.9436,-1.6839,3.0976,0.812,selection,-0.401,False,abstain,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,0.1212,3.2256,-3.0236,3.2025,0.8818,selection,-0.8898,False,abstain,False
1,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,2.012,2.4299,-0.1763,5.0657,0.9101,selection,0.9105,False,abstain,False
1,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,2.2031,4.1169,-1.1578,5.5286,0.8515,selection,1.8188,True,abstain,False
1,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,0.5852,1.6402,-1.2972,2.8234,0.8272,selection,-0.5102,False,abstain,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,3.4434,4.7652,0.1579,7.2401,0.88,selection,0.3366,False,abstain,False
1,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,1.914,3.024,-0.6473,4.4901,0.8361,selection,1.8088,True,abstain,False
1,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,1.6436,3.8232,-1.1178,5.1114,0.9237,selection,2.3681,True,abstain,False
1,selection|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,-0.9408,1.7658,-2.7754,1.5001,0.796,selection,-0.384,False,abstain,True
1,selection|allenai/OLMo-2-1124-7B-Instruct|c,delta_pp:1,1.921,3.4389,-1.0174,5.3302,0.8381,selection,1.2233,True,abstain,False
1,selection|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,1.337,1.7014,-0.7546,3.3646,0.8076,selection,1.1876,True,abstain,False
1,selection|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,3.0401,6.2811,-1.4257,6.858,0.9025,selection,3.7391,True,abstain,False
2,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-0.5738,1.3907,-2.4889,1.2743,0.8636,selection,-0.401,False,abstain,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,-2.4483,3.7836,-4.9115,1.8326,0.7947,selection,-0.8898,False,abstain,True
2,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,1.1368,1.9175,-1.2645,3.5157,0.8592,selection,0.9105,False,abstain,False
2,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,-1.5428,2.8962,-4.2053,1.32,0.8616,selection,1.8188,True,abstain,False
2,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-0.87,1.5462,-2.9931,1.1238,0.8323,selection,-0.5102,False,abstain,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,0.8255,4.4489,-2.3436,4.2325,0.8041,selection,0.3366,False,abstain,False
2,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,2.4803,2.5917,0.0607,5.2621,0.886,selection,1.8088,True,abstain,False
2,selection|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,-0.1325,4.4733,-3.4001,3.2019,0.8545,selection,2.3681,True,abstain,False
2,selection|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,-0.2277,1.114,-1.9904,1.3961,0.8341,selection,-0.384,False,abstain,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|c,delta_pp:1,0.5179,3.0767,-2.3949,3.8507,0.7991,selection,1.2233,True,abstain,True
2,selection|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,1.437,1.8688,-0.5319,3.8158,0.8618,selection,1.1876,True,abstain,False
2,selection|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,0.6444,5.1507,-2.774,4.3441,0.8761,selection,3.7391,True,abstain,False
3,selection|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,0.4874,1.3381,-1.3043,2.4463,0.8263,selection,-0.401,False,abstain,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|a,delta_pp:1,1.3382,3.4813,-1.4318,4.6909,0.8053,selection,-0.8898,False,abstain,False
3,selection|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,2.08,2.2741,-0.4854,4.7483,0.836,selection,0.9105,False,abstain,False
3,selection|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,4.1836,3.1462,1.4355,7.3061,0.8754,selection,1.8188,True,unsafe,False
3,selection|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-0.0698,1.2544,-1.8133,1.9953,0.8105,selection,-0.5102,False,abstain,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|b,delta_pp:1,3.5803,3.1654,0.8593,6.7035,0.8737,selection,0.3366,False,abstain,False
3,selection|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,2.4491,2.4653,0.0677,5.0032,0.8833,selection,1.8088,True,abstain,False
