n_per_group,evaluable,abstention,abstention_lo95,abstention_hi95,screen_accuracy,screen_accuracy_lo95,screen_accuracy_hi95,ba_accuracy_same_cells,ba_accuracy_same_cells_lo95,ba_accuracy_same_cells_hi95,difference,difference_lo95,difference_hi95,regret_ba_pp,regret_ba_pp_lo95,regret_ba_pp_hi95,regret_loss_pp,regret_loss_pp_lo95,regret_loss_pp_hi95,ba_minus_loss_regret_pp,ba_minus_loss_regret_pp_lo95,ba_minus_loss_regret_pp_hi95
300,True,0.9193,0.7708,1.0,0.8217,0.0,1.0,0.8029,0.0,1.0,0.0188,-0.2162,0.2938,0.6689,0.6372,0.7956,1.1523,0.3709,2.4059,-0.4834,-1.7547,0.3403
150,True,0.9231,0.7708,1.0,0.6901,0.0,1.0,0.7081,0.0,1.0,-0.018,-0.5,0.1883,0.6771,0.6372,0.7956,1.2105,0.3384,2.4537,-0.5334,-1.8165,0.3685
