contrast,instrument,missing_share_diff,lo95,hi95
immigration:RR-CD,y_open_llama33,-0.2055,-0.5201,0.0588
environment:ECO-SD,y_ensemble18,0.0,0.0,0.0
environment:ECO-SD,y_replication,0.0,0.0,0.0
environment:ECO-SD,y_claude35_scale__claude35_summary,-0.0613,-0.2274,0.0884
environment:ECO-SD,y_claude35_scale__gemini15_summary,0.0,0.0,0.0
environment:ECO-SD,y_claude35_scale__gpt4o_summary,0.0,0.0,0.0
environment:ECO-SD,y_gemini15_scale__claude35_summary,-0.029,-0.1865,0.1359
environment:ECO-SD,y_gemini15_scale__gemini15_summary,0.0,0.0,0.0
environment:ECO-SD,y_gemini15_scale__gpt4o_summary,0.0,0.0,0.0
environment:ECO-SD,y_gpt4o_scale__claude35_summary,-0.0113,-0.1884,0.154
environment:ECO-SD,y_gpt4o_scale__gemini15_summary,-0.0323,-0.1071,0.0
environment:ECO-SD,y_gpt4o_scale__gpt4o_summary,0.0,0.0,0.0
environment:ECO-SD,y_open_deepseekv3,-0.0323,-0.125,0.0
environment:ECO-SD,y_open_gemma3,0.05,0.0,0.125
environment:ECO-SD,y_open_llama33,-0.0323,-0.0909,0.0
taxspend:SOC-CON,y_ensemble18,0.0,0.0,0.0
taxspend:SOC-CON,y_replication,0.0,0.0,0.0
taxspend:SOC-CON,y_claude35_scale__claude35_summary,0.0676,-0.0817,0.2112
taxspend:SOC-CON,y_claude35_scale__gemini15_summary,-0.0435,-0.1304,0.0
taxspend:SOC-CON,y_claude35_scale__gpt4o_summary,0.0,0.0,0.0
taxspend:SOC-CON,y_gemini15_scale__claude35_summary,0.0242,-0.1273,0.2
taxspend:SOC-CON,y_gemini15_scale__gemini15_summary,-0.0934,-0.2744,0.0695
taxspend:SOC-CON,y_gemini15_scale__gpt4o_summary,0.0,0.0,0.0
taxspend:SOC-CON,y_gpt4o_scale__claude35_summary,0.0676,-0.0825,0.2199
taxspend:SOC-CON,y_gpt4o_scale__gemini15_summary,-0.0435,-0.1154,0.0
taxspend:SOC-CON,y_gpt4o_scale__gpt4o_summary,0.0,0.0,0.0
taxspend:SOC-CON,y_open_deepseekv3,-0.0435,-0.1304,0.0
taxspend:SOC-CON,y_open_gemma3,0.0,0.0,0.0
taxspend:SOC-CON,y_open_llama33,0.037,0.0,0.1034
social:RR-LIB,y_ensemble18,-0.0487,-0.1989,0.0741
social:RR-LIB,y_replication,-0.0487,-0.17,0.0614
social:RR-LIB,y_claude35_scale__claude35_summary,-0.1175,-0.3328,0.083
social:RR-LIB,y_claude35_scale__gemini15_summary,-0.1661,-0.3843,0.036
social:RR-LIB,y_claude35_scale__gpt4o_summary,-0.0233,-0.2275,0.1931
social:RR-LIB,y_gemini15_scale__claude35_summary,-0.146,-0.3939,0.0495
social:RR-LIB,y_gemini15_scale__gemini15_summary,-0.2201,-0.3859,-0.0794
social:RR-LIB,y_gemini15_scale__gpt4o_summary,-0.1344,-0.3022,0.0128
social:RR-LIB,y_gpt4o_scale__claude35_summary,-0.1577,-0.4263,0.0914
social:RR-LIB,y_gpt4o_scale__gemini15_summary,-0.1577,-0.4009,0.0603
social:RR-LIB,y_gpt4o_scale__gpt4o_summary,-0.1545,-0.3759,0.0275
social:RR-LIB,y_open_deepseekv3,-0.0857,-0.188,0.0
social:RR-LIB,y_open_gemma3,0.0,0.0,0.0
social:RR-LIB,y_open_llama33,-0.1344,-0.3081,0.0007
taxspend:EAST-WEST,y_ensemble18,0.0143,0.0,0.05
taxspend:EAST-WEST,y_replication,0.0,0.0,0.0
taxspend:EAST-WEST,y_claude35_scale__claude35_summary,0.0377,-0.0816,0.1581
taxspend:EAST-WEST,y_claude35_scale__gemini15_summary,0.0104,-0.0261,0.0465
taxspend:EAST-WEST,y_claude35_scale__gpt4o_summary,0.0143,0.0,0.0458
taxspend:EAST-WEST,y_gemini15_scale__claude35_summary,0.0299,-0.1087,0.1674
taxspend:EAST-WEST,y_gemini15_scale__gemini15_summary,0.1048,-0.0167,0.2546
taxspend:EAST-WEST,y_gemini15_scale__gpt4o_summary,-0.0039,-0.0297,0.036
taxspend:EAST-WEST,y_gpt4o_scale__claude35_summary,0.0316,-0.0883,0.1795
taxspend:EAST-WEST,y_gpt4o_scale__gemini15_summary,-0.0117,-0.0674,0.0478
taxspend:EAST-WEST,y_gpt4o_scale__gpt4o_summary,0.0082,-0.0128,0.0481
taxspend:EAST-WEST,y_open_deepseekv3,0.0126,-0.0372,0.0624
taxspend:EAST-WEST,y_open_gemma3,0.0104,-0.0298,0.0593
taxspend:EAST-WEST,y_open_llama33,0.029,-0.0662,0.1652
social:EAST-WEST,y_ensemble18,-0.0095,-0.0929,0.1138
social:EAST-WEST,y_replication,0.0126,-0.0433,0.0908
social:EAST-WEST,y_claude35_scale__claude35_summary,0.0732,-0.0888,0.2813
social:EAST-WEST,y_claude35_scale__gemini15_summary,0.0442,-0.1525,0.2425
social:EAST-WEST,y_claude35_scale__gpt4o_summary,0.0143,-0.1583,0.2139
social:EAST-WEST,y_gemini15_scale__claude35_summary,-0.0307,-0.1782,0.1208
social:EAST-WEST,y_gemini15_scale__gemini15_summary,0.0333,-0.1207,0.2356
social:EAST-WEST,y_gemini15_scale__gpt4o_summary,0.0139,-0.1582,0.1921
social:EAST-WEST,y_gpt4o_scale__claude35_summary,0.0922,-0.0829,0.2624
social:EAST-WEST,y_gpt4o_scale__gemini15_summary,0.0706,-0.1076,0.2657
social:EAST-WEST,y_gpt4o_scale__gpt4o_summary,0.0061,-0.1641,0.1948
social:EAST-WEST,y_open_deepseekv3,0.0069,-0.0692,0.0709
social:EAST-WEST,y_open_gemma3,0.0048,-0.0718,0.0728
social:EAST-WEST,y_open_llama33,0.1056,-0.0043,0.221
immigration:EAST-WEST,y_ensemble18,0.1814,0.0348,0.3233
