scenario,rep,estimate,lo95,hi95,call,coded_items
null,0,0.3758,-0.1954,1.0317,equivalent,25572
null,1,0.6153,-0.3853,1.242,inconclusive,25507
null,2,0.3615,-0.2867,0.8289,equivalent,25343
null,3,0.5514,0.0146,1.1959,inconclusive,25434
null,4,0.0005,-0.4095,0.4306,equivalent,25391
null,5,0.1297,-0.3952,0.5131,equivalent,25307
null,6,-0.1329,-0.4101,0.1947,equivalent,25366
null,7,0.5419,0.0703,1.1414,inconclusive,25513
null,8,0.1127,-0.3108,0.7272,equivalent,25511
null,9,0.4154,-0.0206,0.8731,equivalent,25586
null,10,-0.0035,-0.5263,0.5553,equivalent,25598
null,11,0.0199,-0.4773,0.5528,equivalent,25385
null,12,-0.2575,-0.6972,0.217,equivalent,25216
null,13,0.4451,0.0854,0.7945,equivalent,25323
null,14,0.2295,-0.3083,0.6332,equivalent,25601
alt_RR_sens_-0.20,0,-0.8175,-1.1823,-0.4651,inconclusive,25536
alt_RR_sens_-0.20,1,-1.5737,-2.0024,-1.1786,non-equivalent,25546
alt_RR_sens_-0.20,2,-0.9371,-1.6087,-0.4637,inconclusive,25410
alt_RR_sens_-0.20,3,-1.539,-1.8911,-0.9877,non-equivalent,25522
alt_RR_sens_-0.20,4,-0.7099,-1.4896,-0.2156,inconclusive,25394
alt_RR_sens_-0.20,5,-1.5833,-1.9569,-1.1387,non-equivalent,25465
alt_RR_sens_-0.20,6,-1.2445,-1.6564,-0.8763,non-equivalent,25380
alt_RR_sens_-0.20,7,-1.2074,-1.8335,-0.7453,non-equivalent,25248
alt_RR_sens_-0.20,8,-1.3089,-1.6821,-1.0061,non-equivalent,25492
alt_RR_sens_-0.20,9,-1.5731,-1.805,-1.1871,non-equivalent,25357
alt_RR_sens_-0.20,10,-1.9882,-2.4163,-1.6411,non-equivalent,25656
alt_RR_sens_-0.20,11,-1.0288,-1.7785,0.1484,inconclusive,25308
alt_RR_sens_-0.20,12,-1.284,-1.714,-0.698,non-equivalent,25421
alt_RR_sens_-0.20,13,-1.2282,-1.9135,-0.4754,non-equivalent,25364
alt_RR_sens_-0.20,14,-1.1257,-1.613,-0.6389,non-equivalent,25323
