draw,key,area,balanced_accuracy,accuracy,n_audit,stat,audit_estimate,full_estimate,unsafe_full,flag_audit,flag_ba
0,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7303,0.6533,450,delta_pp:1,-0.0884,2.9395,False,False,True
0,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.8098,0.7933,450,delta_pp:1,11.8558,2.3605,False,True,False
0,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7645,0.7489,450,delta_pp:1,7.6307,3.6188,True,True,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7344,0.7556,450,delta_pp:1,13.5856,4.9661,True,True,True
0,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8198,0.8044,450,delta_pp:1,6.3605,2.0905,False,True,False
0,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7712,0.7933,450,delta_pp:1,15.3823,4.5829,True,True,True
0,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7392,0.7667,450,delta_pp:1,5.5777,4.3086,True,True,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7242,0.7889,450,delta_pp:1,5.258,5.5371,True,True,True
0,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7129,0.6511,450,delta_pp:1,6.9038,1.7575,False,True,True
0,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7062,0.6822,450,delta_pp:1,13.6168,2.1823,False,True,True
0,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7644,0.7889,450,delta_pp:1,6.3216,2.9806,False,True,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.73,0.7378,450,delta_pp:1,8.4413,5.1812,True,True,True
1,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.704,0.6289,450,delta_pp:1,4.3365,2.9395,False,True,True
1,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.787,0.7556,450,delta_pp:1,3.7973,2.3605,False,True,True
1,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7735,0.7444,450,delta_pp:1,5.9647,3.6188,True,True,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7849,0.7911,450,delta_pp:1,7.7706,4.9661,True,True,True
1,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8027,0.7622,450,delta_pp:1,-0.3718,2.0905,False,False,False
1,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7508,0.7667,450,delta_pp:1,3.6368,4.5829,True,True,True
1,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.6969,0.7156,450,delta_pp:1,10.9966,4.3086,True,True,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.68,0.76,450,delta_pp:1,4.6369,5.5371,True,True,True
1,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7136,0.6467,450,delta_pp:1,2.8822,1.7575,False,False,True
1,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7263,0.7,450,delta_pp:1,-2.5682,2.1823,False,False,True
1,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7261,0.7333,450,delta_pp:1,15.1829,2.9806,False,True,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.698,0.6978,450,delta_pp:1,7.6946,5.1812,True,True,True
2,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7155,0.6511,450,delta_pp:1,10.2272,2.9395,False,True,True
2,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.8174,0.8089,450,delta_pp:1,11.0206,2.3605,False,True,False
2,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7323,0.7156,450,delta_pp:1,13.6394,3.6188,True,True,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7566,0.7756,450,delta_pp:1,5.9273,4.9661,True,True,True
2,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8045,0.7889,450,delta_pp:1,-2.239,2.0905,False,False,False
2,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7287,0.7622,450,delta_pp:1,16.9067,4.5829,True,True,True
2,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7066,0.7444,450,delta_pp:1,10.1557,4.3086,True,True,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7035,0.7844,450,delta_pp:1,12.1044,5.5371,True,True,True
2,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7302,0.6711,450,delta_pp:1,8.3657,1.7575,False,True,True
2,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7275,0.7067,450,delta_pp:1,1.761,2.1823,False,False,True
2,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7217,0.7356,450,delta_pp:1,8.2995,2.9806,False,True,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7314,0.7511,450,delta_pp:1,11.6618,5.1812,True,True,True
3,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7257,0.6511,450,delta_pp:1,13.6101,2.9395,False,True,True
3,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.8042,0.7733,450,delta_pp:1,6.4525,2.3605,False,True,False
3,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7654,0.7444,450,delta_pp:1,9.681,3.6188,True,True,True
3,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7793,0.8022,450,delta_pp:1,2.2045,4.9661,True,False,True
3,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8082,0.7844,450,delta_pp:1,7.7121,2.0905,False,True,False
3,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7421,0.7756,450,delta_pp:1,9.3534,4.5829,True,True,True
3,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7365,0.7622,450,delta_pp:1,6.1723,4.3086,True,True,True
3,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7261,0.8111,450,delta_pp:1,8.9497,5.5371,True,True,True
3,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7514,0.6867,450,delta_pp:1,9.2555,1.7575,False,True,True
3,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7334,0.7222,450,delta_pp:1,10.836,2.1823,False,True,True
3,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7313,0.7578,450,delta_pp:1,3.6218,2.9806,False,True,True
3,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7395,0.7444,450,delta_pp:1,6.1264,5.1812,True,True,True
4,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.711,0.6378,450,delta_pp:1,-7.988,2.9395,False,True,True
4,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7816,0.7556,450,delta_pp:1,-4.3021,2.3605,False,True,True
4,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7234,0.6978,450,delta_pp:1,-0.2663,3.6188,True,False,True
4,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7554,0.7533,450,delta_pp:1,-4.6454,4.9661,True,True,True
4,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.7933,0.7667,450,delta_pp:1,-1.8316,2.0905,False,False,True
4,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7573,0.7711,450,delta_pp:1,-1.3772,4.5829,True,False,True
4,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.6809,0.7067,450,delta_pp:1,8.8122,4.3086,True,True,True
4,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.6567,0.7289,450,delta_pp:1,3.1981,5.5371,True,True,True
4,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.6995,0.6311,450,delta_pp:1,-5.8608,1.7575,False,True,True
4,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7433,0.7111,450,delta_pp:1,-7.102,2.1823,False,True,True
4,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.719,0.7311,450,delta_pp:1,-3.5014,2.9806,False,True,True
4,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7057,0.7178,450,delta_pp:1,2.5943,5.1812,True,False,True
5,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7325,0.6644,450,delta_pp:1,3.2794,2.9395,False,True,True
5,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7945,0.7867,450,delta_pp:1,-1.9829,2.3605,False,False,True
5,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7599,0.7444,450,delta_pp:1,3.2855,3.6188,True,True,True
5,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.787,0.8133,450,delta_pp:1,6.5802,4.9661,True,True,True
5,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8013,0.7933,450,delta_pp:1,-3.9628,2.0905,False,True,False
5,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7402,0.7756,450,delta_pp:1,2.6235,4.5829,True,False,True
5,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.753,0.78,450,delta_pp:1,-1.9799,4.3086,True,False,True
5,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.742,0.8178,450,delta_pp:1,-1.3271,5.5371,True,False,True
5,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7093,0.6511,450,delta_pp:1,-1.3271,1.7575,False,False,True
5,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7169,0.6933,450,delta_pp:1,-0.6712,2.1823,False,False,True
5,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7249,0.7467,450,delta_pp:1,2.6144,2.9806,False,False,True
5,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7181,0.74,450,delta_pp:1,5.2562,5.1812,True,True,True
6,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7467,0.6578,450,delta_pp:1,-2.0016,2.9395,False,False,True
6,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7938,0.7622,450,delta_pp:1,-6.9963,2.3605,False,True,True
6,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7401,0.7156,450,delta_pp:1,-4.4398,3.6188,True,True,True
6,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.785,0.7933,450,delta_pp:1,-2.7559,4.9661,True,False,True
6,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8079,0.7756,450,delta_pp:1,-6.1517,2.0905,False,True,False
6,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7834,0.7911,450,delta_pp:1,-1.3755,4.5829,True,False,True
6,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7383,0.7467,450,delta_pp:1,-3.0987,4.3086,True,True,True
6,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7596,0.8311,450,delta_pp:1,3.3759,5.5371,True,True,True
6,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7303,0.6511,450,delta_pp:1,-0.1107,1.7575,False,False,True
6,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7191,0.6889,450,delta_pp:1,-1.0605,2.1823,False,False,True
6,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7375,0.7489,450,delta_pp:1,-8.3203,2.9806,False,True,True
6,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.761,0.7489,450,delta_pp:1,1.4405,5.1812,True,False,True
7,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7161,0.6444,450,delta_pp:1,-0.8017,2.9395,False,False,True
7,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.76,0.7356,450,delta_pp:1,2.8198,2.3605,False,False,True
7,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7202,0.7022,450,delta_pp:1,2.3703,3.6188,True,False,True
7,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7291,0.7467,450,delta_pp:1,1.5107,4.9661,True,False,True
7,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.7984,0.7822,450,delta_pp:1,-5.2775,2.0905,False,True,True
7,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.6942,0.7156,450,delta_pp:1,6.2188,4.5829,True,True,True
7,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.6825,0.7022,450,delta_pp:1,2.5283,4.3086,True,False,True
7,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.6933,0.7644,450,delta_pp:1,3.595,5.5371,True,True,True
7,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.7097,0.6556,450,delta_pp:1,3.9287,1.7575,False,True,True
7,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7118,0.6889,450,delta_pp:1,4.5443,2.1823,False,True,True
7,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7057,0.7222,450,delta_pp:1,1.3591,2.9806,False,False,True
7,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7057,0.7178,450,delta_pp:1,0.7031,5.1812,True,False,True
8,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7398,0.6756,450,delta_pp:1,-2.0507,2.9395,False,False,True
8,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.7844,0.7711,450,delta_pp:1,2.1361,2.3605,False,False,True
8,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.7572,0.7333,450,delta_pp:1,6.6096,3.6188,True,True,True
8,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7762,0.7933,450,delta_pp:1,5.3792,4.9661,True,True,True
8,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8145,0.8044,450,delta_pp:1,2.9369,2.0905,False,False,False
8,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7388,0.7667,450,delta_pp:1,0.56,4.5829,True,False,True
8,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7059,0.7267,450,delta_pp:1,6.3248,4.3086,True,True,True
8,economic|mistralai/Mistral-7B-Instruct-v0.3|b,economic,0.7039,0.7911,450,delta_pp:1,9.6041,5.5371,True,True,True
8,economic|Qwen/Qwen2.5-7B-Instruct|c,economic,0.743,0.68,450,delta_pp:1,3.2283,1.7575,False,True,True
8,economic|ibm-granite/granite-3.3-8b-instruct|c,economic,0.7444,0.7156,450,delta_pp:1,-1.361,2.1823,False,False,True
8,economic|microsoft/Phi-3.5-mini-instruct|c,economic,0.7236,0.74,450,delta_pp:1,-0.167,2.9806,False,False,True
8,economic|mistralai/Mistral-7B-Instruct-v0.3|c,economic,0.7641,0.7822,450,delta_pp:1,12.5477,5.1812,True,True,True
9,economic|Qwen/Qwen2.5-7B-Instruct|a,economic,0.7272,0.6444,450,delta_pp:1,12.3658,2.9395,False,True,True
9,economic|ibm-granite/granite-3.3-8b-instruct|a,economic,0.8018,0.7733,450,delta_pp:1,7.4984,2.3605,False,True,False
9,economic|microsoft/Phi-3.5-mini-instruct|a,economic,0.746,0.72,450,delta_pp:1,4.5655,3.6188,True,True,True
9,economic|mistralai/Mistral-7B-Instruct-v0.3|a,economic,0.7445,0.76,450,delta_pp:1,4.5663,4.9661,True,True,True
9,economic|Qwen/Qwen2.5-7B-Instruct|b,economic,0.8076,0.7978,450,delta_pp:1,5.572,2.0905,False,True,False
9,economic|ibm-granite/granite-3.3-8b-instruct|b,economic,0.7387,0.7778,450,delta_pp:1,5.1948,4.5829,True,True,True
9,economic|microsoft/Phi-3.5-mini-instruct|b,economic,0.7029,0.7333,450,delta_pp:1,3.038,4.3086,True,True,True
