stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,estimate_raw,model,paraphrase,invalid_rate
delta_pp:1,-0.401,0.2662,-0.7602,0.1432,-0.8108,0.2154,0.3054,0.206,1.0,equivalent,-0.0955,Qwen/Qwen2.5-7B-Instruct,a,0.0
sens_diff:1,-0.0024,0.0282,-0.0484,0.0438,-0.0586,0.0538,0.0317,0.988,0.05,equivalent,0.0293,Qwen/Qwen2.5-7B-Instruct,a,0.0
fpr_diff:1,-0.0041,0.0024,-0.0071,0.0008,-0.0076,0.0015,0.0011,0.322,0.05,equivalent,-0.0031,Qwen/Qwen2.5-7B-Instruct,a,0.0
delta_pp:1,-0.8898,1.9496,-4.3639,2.1303,-4.9187,2.7459,0.2601,0.154,1.0,inconclusive,-0.6297,allenai/OLMo-2-1124-7B-Instruct,a,0.0
sens_diff:1,-0.1443,0.0452,-0.2233,-0.0803,-0.2411,-0.0696,0.0296,0.0,0.05,non-equivalent,-0.1146,allenai/OLMo-2-1124-7B-Instruct,a,0.0
fpr_diff:1,0.0005,0.0183,-0.032,0.0314,-0.0354,0.0363,0.0007,0.998,0.05,equivalent,0.0012,allenai/OLMo-2-1124-7B-Instruct,a,0.0
delta_pp:1,0.9105,1.2037,-0.7112,3.0889,-0.964,3.5577,0.3185,0.032,1.0,inconclusive,1.229,ibm-granite/granite-3.3-8b-instruct,a,0.0
sens_diff:1,-0.0211,0.0257,-0.0688,0.0175,-0.0751,0.023,0.0358,0.306,0.05,inconclusive,0.0147,ibm-granite/granite-3.3-8b-instruct,a,0.0
fpr_diff:1,0.0112,0.0127,-0.0057,0.0333,-0.0072,0.0395,0.0009,0.016,0.05,equivalent,0.0122,ibm-granite/granite-3.3-8b-instruct,a,0.0
delta_pp:1,1.8188,1.716,-0.7014,4.8154,-1.0316,5.2771,0.3184,0.002,1.0,inconclusive,2.1372,microsoft/Phi-3.5-mini-instruct,a,0.0
sens_diff:1,-0.0325,0.029,-0.0826,0.0128,-0.0931,0.0215,0.0331,0.07,0.05,inconclusive,0.0006,microsoft/Phi-3.5-mini-instruct,a,0.0
fpr_diff:1,0.0218,0.0184,-0.0038,0.054,-0.007,0.0596,0.0011,0.0,0.05,inconclusive,0.0229,microsoft/Phi-3.5-mini-instruct,a,0.0
delta_pp:1,-0.5102,0.2451,-0.85,-0.0307,-0.8921,0.07,0.2913,0.13,1.0,equivalent,-0.2189,Qwen/Qwen2.5-7B-Instruct,b,0.0
sens_diff:1,-0.0214,0.0281,-0.0666,0.0266,-0.0754,0.0317,0.0331,0.368,0.05,inconclusive,0.0118,Qwen/Qwen2.5-7B-Instruct,b,0.0
fpr_diff:1,-0.004,0.002,-0.0066,-0.0,-0.0071,0.0009,0.0008,0.42,0.05,equivalent,-0.0032,Qwen/Qwen2.5-7B-Instruct,b,0.0
delta_pp:1,0.3366,2.4566,-2.9441,4.9099,-3.3859,5.7539,0.2531,0.63,1.0,inconclusive,0.5897,allenai/OLMo-2-1124-7B-Instruct,b,0.0
sens_diff:1,-0.1083,0.0431,-0.1737,-0.0353,-0.1921,-0.0254,0.0301,0.0,0.05,non-equivalent,-0.0782,allenai/OLMo-2-1124-7B-Instruct,b,0.0
fpr_diff:1,0.0112,0.0244,-0.0212,0.057,-0.0233,0.0667,0.0006,0.134,0.05,inconclusive,0.0118,allenai/OLMo-2-1124-7B-Instruct,b,0.0
delta_pp:1,1.8088,1.7432,-0.5886,4.8494,-0.7533,5.6438,0.3149,0.0,1.0,inconclusive,2.1237,ibm-granite/granite-3.3-8b-instruct,b,0.0
sens_diff:1,-0.0142,0.0296,-0.0686,0.029,-0.0794,0.0329,0.0335,0.558,0.05,inconclusive,0.0193,ibm-granite/granite-3.3-8b-instruct,b,0.0
fpr_diff:1,0.0204,0.0183,-0.0036,0.0517,-0.0062,0.0603,0.001,0.0,0.05,inconclusive,0.0214,ibm-granite/granite-3.3-8b-instruct,b,0.0
delta_pp:1,2.3681,2.1004,-0.9312,5.9004,-1.3707,6.811,0.3186,0.0,1.0,inconclusive,2.6867,microsoft/Phi-3.5-mini-instruct,b,0.0
sens_diff:1,-0.0297,0.0275,-0.0797,0.0115,-0.0876,0.0198,0.0331,0.098,0.05,inconclusive,0.0034,microsoft/Phi-3.5-mini-instruct,b,0.0
