stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,estimate_raw,model,paraphrase,invalid_rate
fpr_diff:1,0.0275,0.0225,-0.0066,0.0659,-0.0115,0.0741,0.0011,0.0,0.05,inconclusive,0.0286,microsoft/Phi-3.5-mini-instruct,b,0.0
delta_pp:1,-0.384,0.2662,-0.7447,0.1358,-0.7771,0.2408,0.2997,0.238,1.0,equivalent,-0.0844,Qwen/Qwen2.5-7B-Instruct,c,0.0
sens_diff:1,-0.018,0.0265,-0.0623,0.0247,-0.0725,0.0326,0.0311,0.434,0.05,inconclusive,0.0132,Qwen/Qwen2.5-7B-Instruct,c,0.0
fpr_diff:1,-0.0029,0.0027,-0.0058,0.0028,-0.0063,0.0043,0.001,0.612,0.05,equivalent,-0.0018,Qwen/Qwen2.5-7B-Instruct,c,0.0
delta_pp:1,1.2233,2.3908,-2.4822,5.1268,-2.7865,6.1203,0.248,0.028,1.0,inconclusive,1.4713,allenai/OLMo-2-1124-7B-Instruct,c,0.0
sens_diff:1,-0.1204,0.0458,-0.2009,-0.0492,-0.2143,-0.0369,0.0293,0.0,0.05,non-equivalent,-0.0911,allenai/OLMo-2-1124-7B-Instruct,c,0.0
fpr_diff:1,0.0215,0.0237,-0.014,0.0612,-0.0175,0.071,0.0006,0.0,0.05,inconclusive,0.0221,allenai/OLMo-2-1124-7B-Instruct,c,0.0
delta_pp:1,1.1876,1.146,-0.2992,3.3763,-0.4492,3.7848,0.3012,0.002,1.0,inconclusive,1.4888,ibm-granite/granite-3.3-8b-instruct,c,0.0
sens_diff:1,-0.0099,0.03,-0.0623,0.0407,-0.0711,0.0461,0.0329,0.806,0.05,inconclusive,0.023,ibm-granite/granite-3.3-8b-instruct,c,0.0
fpr_diff:1,0.0134,0.0119,-0.0015,0.0355,-0.0028,0.0406,0.0009,0.0,0.05,equivalent,0.0144,ibm-granite/granite-3.3-8b-instruct,c,0.0
delta_pp:1,3.7391,2.5725,-0.3237,8.0938,-0.8333,9.0531,0.2988,0.0,1.0,inconclusive,4.0379,microsoft/Phi-3.5-mini-instruct,c,0.0
sens_diff:1,-0.0318,0.0265,-0.0766,0.0137,-0.0864,0.02,0.0346,0.076,0.05,inconclusive,0.0028,microsoft/Phi-3.5-mini-instruct,c,0.0
fpr_diff:1,0.0423,0.0272,-0.0002,0.0888,-0.0057,0.1011,0.0008,0.0,0.05,inconclusive,0.0431,microsoft/Phi-3.5-mini-instruct,c,0.0
