world,rep,contrast,shifted,primary_call,rule_diverging,rule_equivalent
invariant,8,immigration:RR-CD,False,inconclusive,False,False
invariant,8,environment:ECO-SD,False,inconclusive,False,False
invariant,8,taxspend:SOC-CON,False,inconclusive,False,False
invariant,8,social:RR-LIB,False,equivalent,False,False
invariant,8,taxspend:EAST-WEST,False,equivalent,False,True
invariant,8,social:EAST-WEST,False,equivalent,False,True
invariant,8,immigration:EAST-WEST,False,equivalent,False,True
invariant,8,eu:EAST-WEST,False,equivalent,False,True
invariant,8,environment:EAST-WEST,False,equivalent,False,True
invariant,8,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,9,immigration:RR-CON,False,inconclusive,False,False
invariant,9,immigration:RR-CD,False,equivalent,False,False
invariant,9,environment:ECO-SD,False,inconclusive,False,False
invariant,9,taxspend:SOC-CON,False,inconclusive,False,False
invariant,9,social:RR-LIB,False,equivalent,False,False
invariant,9,taxspend:EAST-WEST,False,equivalent,False,True
invariant,9,social:EAST-WEST,False,equivalent,False,True
invariant,9,immigration:EAST-WEST,False,equivalent,False,True
invariant,9,eu:EAST-WEST,False,equivalent,False,True
invariant,9,environment:EAST-WEST,False,inconclusive,False,False
invariant,9,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,10,immigration:RR-CON,False,equivalent,False,False
invariant,10,immigration:RR-CD,False,inconclusive,False,False
invariant,10,environment:ECO-SD,False,inconclusive,False,False
invariant,10,taxspend:SOC-CON,False,equivalent,False,False
invariant,10,social:RR-LIB,False,equivalent,False,False
invariant,10,taxspend:EAST-WEST,False,equivalent,False,True
invariant,10,social:EAST-WEST,False,equivalent,False,True
invariant,10,immigration:EAST-WEST,False,equivalent,False,True
invariant,10,eu:EAST-WEST,False,equivalent,False,True
invariant,10,environment:EAST-WEST,False,inconclusive,False,False
invariant,10,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,11,immigration:RR-CON,False,inconclusive,False,False
invariant,11,immigration:RR-CD,False,inconclusive,False,False
invariant,11,environment:ECO-SD,False,inconclusive,False,False
invariant,11,taxspend:SOC-CON,False,inconclusive,False,False
invariant,11,social:RR-LIB,False,equivalent,False,False
invariant,11,taxspend:EAST-WEST,False,equivalent,False,True
invariant,11,social:EAST-WEST,False,equivalent,False,True
invariant,11,immigration:EAST-WEST,False,equivalent,False,True
invariant,11,eu:EAST-WEST,False,equivalent,False,False
