world,contrast,shifted,primary_non_equivalent,primary_equivalent,mean_estimate,sd_estimate,mean_boot_se,median_width95,coverage0_95,rule_diverging,rule_equivalent
invariant,decentralization:EAST-WEST,False,0.0,0.0,0.07,0.3,0.242,0.878,0.84,0.0,0.0
invariant,environment:EAST-WEST,False,0.04,0.6,-0.006,0.105,0.097,0.368,0.92,0.0,0.6
invariant,environment:ECO-SD,False,0.0,0.04,-0.032,0.169,0.173,0.66,0.92,0.0,0.0
invariant,eu:EAST-WEST,False,0.0,0.96,0.015,0.075,0.067,0.257,0.88,0.0,0.92
invariant,immigration:EAST-WEST,False,0.0,0.8,0.005,0.089,0.076,0.289,0.84,0.0,0.72
invariant,immigration:RR-CD,False,0.04,0.2,-0.009,0.219,0.133,0.492,0.8,0.04,0.0
invariant,immigration:RR-CON,False,0.0,0.2,-0.021,0.151,0.144,0.532,0.96,0.0,0.0
invariant,social:EAST-WEST,False,0.0,1.0,0.009,0.06,0.059,0.225,0.92,0.0,1.0
invariant,social:RR-LIB,False,0.0,0.72,-0.005,0.102,0.097,0.374,0.92,0.0,0.04
invariant,taxspend:EAST-WEST,False,0.0,0.96,0.029,0.058,0.069,0.264,0.92,0.0,0.96
invariant,taxspend:SOC-CON,False,0.0,0.12,-0.032,0.157,0.143,0.557,0.88,0.0,0.0
invariant_lam_low,decentralization:EAST-WEST,False,0.0,0.0,0.011,0.239,0.233,0.859,0.84,0.0,0.0
invariant_lam_low,environment:EAST-WEST,False,0.0,0.68,0.019,0.082,0.099,0.369,0.96,0.0,0.6
invariant_lam_low,environment:ECO-SD,False,0.0,0.04,-0.145,0.2,0.185,0.719,0.88,0.0,0.0
invariant_lam_low,eu:EAST-WEST,False,0.0,0.88,-0.013,0.074,0.07,0.269,0.88,0.0,0.84
invariant_lam_low,immigration:EAST-WEST,False,0.0,0.8,0.042,0.086,0.074,0.278,0.8,0.0,0.64
invariant_lam_low,immigration:RR-CD,False,0.0,0.24,0.068,0.124,0.131,0.512,0.88,0.0,0.0
invariant_lam_low,immigration:RR-CON,False,0.0,0.16,0.066,0.142,0.143,0.537,0.92,0.0,0.0
invariant_lam_low,social:EAST-WEST,False,0.0,0.96,0.046,0.065,0.055,0.202,0.8,0.0,0.96
invariant_lam_low,social:RR-LIB,False,0.12,0.28,0.155,0.089,0.093,0.344,0.6,0.0,0.04
invariant_lam_low,taxspend:EAST-WEST,False,0.0,0.8,0.015,0.08,0.072,0.274,0.92,0.0,0.76
invariant_lam_low,taxspend:SOC-CON,False,0.04,0.08,-0.127,0.161,0.136,0.527,0.84,0.0,0.0
shift_east,decentralization:EAST-WEST,True,0.36,0.0,0.55,0.31,0.25,0.874,0.36,0.24,0.0
shift_east,environment:EAST-WEST,True,0.96,0.0,0.47,0.126,0.109,0.388,0.04,0.92,0.0
shift_east,environment:ECO-SD,False,0.0,0.0,-0.034,0.127,0.191,0.743,1.0,0.0,0.0
shift_east,eu:EAST-WEST,True,1.0,0.0,0.514,0.071,0.081,0.304,0.0,1.0,0.0
shift_east,immigration:EAST-WEST,True,1.0,0.0,0.472,0.088,0.075,0.279,0.0,1.0,0.0
shift_east,immigration:RR-CD,False,0.0,0.04,-0.067,0.112,0.151,0.589,0.92,0.0,0.0
shift_east,immigration:RR-CON,False,0.0,0.04,-0.114,0.145,0.172,0.657,0.96,0.0,0.0
shift_east,social:EAST-WEST,True,1.0,0.0,0.443,0.058,0.062,0.24,0.0,0.96,0.0
shift_east,social:RR-LIB,False,0.0,0.36,-0.049,0.097,0.112,0.438,0.96,0.0,0.0
shift_east,taxspend:EAST-WEST,True,1.0,0.0,0.498,0.071,0.078,0.288,0.0,1.0,0.0
shift_east,taxspend:SOC-CON,False,0.12,0.0,-0.105,0.168,0.159,0.598,0.84,0.0,0.0
shift_family,decentralization:EAST-WEST,False,0.0,0.04,0.031,0.231,0.239,0.875,0.96,0.0,0.04
shift_family,environment:EAST-WEST,False,0.0,0.24,-0.003,0.126,0.108,0.404,0.92,0.0,0.24
shift_family,environment:ECO-SD,True,0.2,0.0,0.351,0.236,0.203,0.787,0.64,0.16,0.0
shift_family,eu:EAST-WEST,False,0.0,0.88,0.03,0.073,0.067,0.259,0.84,0.0,0.84
shift_family,immigration:EAST-WEST,False,0.0,0.96,-0.013,0.061,0.066,0.245,0.88,0.0,0.92
shift_family,immigration:RR-CD,True,0.44,0.0,0.338,0.139,0.134,0.52,0.32,0.12,0.0
shift_family,immigration:RR-CON,True,0.52,0.0,0.392,0.126,0.145,0.551,0.12,0.12,0.0
shift_family,social:EAST-WEST,False,0.0,1.0,-0.016,0.039,0.055,0.213,0.96,0.0,1.0
shift_family,social:RR-LIB,True,0.76,0.04,0.336,0.126,0.103,0.385,0.12,0.16,0.04
shift_family,taxspend:EAST-WEST,False,0.0,0.88,-0.04,0.069,0.084,0.332,0.92,0.0,0.76
shift_family,taxspend:SOC-CON,True,0.36,0.0,0.366,0.146,0.149,0.574,0.32,0.2,0.0
