stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,area,model,paraphrase,invalid_rate,human_min,human_max,exceeds_human_range
fpr_diff:2,0.0115,0.0327,-0.0418,0.0634,-0.0523,0.0742,-0.0014,0.552,0.05,inconclusive,economic,microsoft/Phi-3.5-mini-instruct,a,0.0,-0.0464,0.0323,False
delta_pp:1,4.9661,1.7581,1.8115,7.5858,1.0644,8.2123,0.1066,0.0,3.0,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-4.9961,5.5263,False
sens_diff:1,0.1036,0.0233,0.0619,0.1383,0.0544,0.1459,0.0037,0.0,0.05,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.03,0.1217,False
fpr_diff:1,0.0097,0.0223,-0.0298,0.0445,-0.0367,0.0503,-0.0008,0.534,0.05,equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.0647,0.0514,False
delta_pp:2,1.7355,1.8593,-0.9211,5.2592,-1.2399,5.8896,0.0426,0.044,3.0,inconclusive,economic,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-4.6316,4.0971,False
sens_diff:2,0.0599,0.0271,0.0172,0.1044,0.0106,0.1166,0.0025,0.0,0.05,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.0465,0.0536,True
fpr_diff:2,-0.0121,0.0212,-0.045,0.0245,-0.0505,0.031,-0.001,0.538,0.05,equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.0464,0.0323,False
delta_pp:1,2.0905,1.405,-0.0864,4.643,-0.5141,5.0363,0.1035,0.012,3.0,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,b,0.0,-4.9961,5.5263,False
sens_diff:1,0.0429,0.015,0.0191,0.0679,0.0152,0.0719,0.0037,0.0,0.05,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.03,0.1217,False
fpr_diff:1,0.0048,0.0197,-0.0249,0.0397,-0.0302,0.0459,-0.0009,0.954,0.05,equivalent,economic,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.0647,0.0514,False
delta_pp:2,1.5207,1.7198,-1.8118,4.0245,-2.1049,4.5079,-0.0307,0.044,3.0,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,b,0.0,-4.6316,4.0971,False
sens_diff:2,0.0399,0.016,0.0139,0.0644,0.0085,0.0697,0.0014,0.0,0.05,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.0465,0.0536,False
fpr_diff:2,-0.0017,0.0209,-0.0395,0.0306,-0.0458,0.0372,-0.0015,1.0,0.05,equivalent,economic,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.0464,0.0323,False
delta_pp:1,4.5829,1.3942,2.4137,6.787,1.8923,7.1826,0.0342,0.0,3.0,non-equivalent,economic,ibm-granite/granite-3.3-8b-instruct,b,0.0,-4.9961,5.5263,False
sens_diff:1,0.0998,0.0235,0.0631,0.1387,0.0539,0.1479,0.0031,0.0,0.05,non-equivalent,economic,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.03,0.1217,False
fpr_diff:1,0.0057,0.0152,-0.02,0.0288,-0.0264,0.0343,-0.0017,0.846,0.05,equivalent,economic,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.0647,0.0514,False
delta_pp:2,0.4632,1.6839,-2.0014,3.6422,-2.5078,4.2055,-0.0161,0.788,3.0,inconclusive,economic,ibm-granite/granite-3.3-8b-instruct,b,0.0,-4.6316,4.0971,False
sens_diff:2,0.0377,0.0296,-0.0069,0.092,-0.0143,0.0998,0.0013,0.044,0.05,inconclusive,economic,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.0465,0.0536,False
fpr_diff:2,-0.0186,0.0155,-0.0424,0.0081,-0.0454,0.0146,-0.0012,0.106,0.05,equivalent,economic,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.0464,0.0323,False
delta_pp:1,4.3086,1.5379,1.7342,6.7718,1.3618,7.3549,0.0493,0.0,3.0,non-equivalent,economic,microsoft/Phi-3.5-mini-instruct,b,0.0,-4.9961,5.5263,False
sens_diff:1,0.0863,0.0231,0.0496,0.1254,0.0422,0.1343,0.0026,0.0,0.05,non-equivalent,economic,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.03,0.1217,False
fpr_diff:1,0.0109,0.0174,-0.0202,0.0362,-0.0274,0.0414,-0.0011,0.482,0.05,equivalent,economic,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.0647,0.0514,False
delta_pp:2,2.6269,2.1234,-0.9376,5.8267,-1.4141,6.7234,-0.0693,0.002,3.0,inconclusive,economic,microsoft/Phi-3.5-mini-instruct,b,0.0,-4.6316,4.0971,False
sens_diff:2,0.0554,0.029,0.011,0.1038,0.0048,0.1166,-0.0002,0.0,0.05,non-equivalent,economic,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.0465,0.0536,True
fpr_diff:2,0.006,0.024,-0.0354,0.0428,-0.0399,0.0493,-0.0011,0.874,0.05,equivalent,economic,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.0464,0.0323,False
delta_pp:1,5.5371,0.971,4.0051,7.1711,3.6789,7.5793,-0.0043,0.0,3.0,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-4.9961,5.5263,True
sens_diff:1,0.1242,0.0191,0.0943,0.1562,0.0894,0.1638,0.0019,0.0,0.05,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.03,0.1217,True
fpr_diff:1,0.0037,0.0073,-0.008,0.0158,-0.0097,0.0177,-0.0015,0.754,0.05,equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.0647,0.0514,False
delta_pp:2,1.9056,1.7282,-0.7661,4.9616,-0.9888,5.8096,-0.052,0.004,3.0,inconclusive,economic,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-4.6316,4.0971,False
sens_diff:2,0.0435,0.034,-0.0047,0.1084,-0.0139,0.1164,0.0006,0.012,0.05,inconclusive,economic,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.0465,0.0536,False
fpr_diff:2,0.0014,0.0119,-0.0167,0.0216,-0.0202,0.0269,-0.0013,0.968,0.05,equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.0464,0.0323,False
delta_pp:1,1.7575,1.2894,-0.1506,3.9375,-0.3941,4.5492,0.0035,0.032,3.0,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,c,0.0,-4.9961,5.5263,False
sens_diff:1,0.0347,0.0115,0.0194,0.0564,0.0172,0.0616,0.0021,0.0,0.05,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.03,0.1217,False
fpr_diff:1,0.0049,0.0196,-0.024,0.0384,-0.0282,0.0466,-0.0015,0.95,0.05,equivalent,economic,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.0647,0.0514,False
delta_pp:2,-0.493,1.7347,-3.21,2.5129,-3.6555,2.9074,-0.0214,0.776,3.0,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,c,0.0,-4.6316,4.0971,False
sens_diff:2,0.0083,0.0121,-0.0079,0.0288,-0.011,0.0367,0.0009,0.844,0.05,equivalent,economic,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.0465,0.0536,False
fpr_diff:2,-0.0141,0.0258,-0.0561,0.0277,-0.0643,0.0379,-0.001,0.628,0.05,inconclusive,economic,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.0464,0.0323,False
delta_pp:1,2.1823,1.4509,-0.4942,4.2711,-0.9248,4.5668,-0.013,0.014,3.0,inconclusive,economic,ibm-granite/granite-3.3-8b-instruct,c,0.0,-4.9961,5.5263,False
sens_diff:1,0.0685,0.012,0.0465,0.0863,0.042,0.0882,0.0022,0.0,0.05,non-equivalent,economic,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.03,0.1217,False
fpr_diff:1,-0.0125,0.0225,-0.0532,0.0217,-0.0609,0.025,-0.0019,0.768,0.05,inconclusive,economic,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.0647,0.0514,False
