stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,area,model,paraphrase,invalid_rate,human_min,human_max,exceeds_human_range
sens_diff:1,-0.004,0.0282,-0.0513,0.0402,-0.0567,0.0526,-0.0004,0.996,0.05,inconclusive,social,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0629,0.0297,-0.1079,-0.0103,-0.1122,-0.0022,0.0003,0.0,0.05,non-equivalent,social,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.0385,0.0202,True
delta_pp:2,1.4405,1.9668,-1.6195,4.7857,-2.1206,5.6819,-0.0116,0.192,3.0,inconclusive,social,microsoft/Phi-3.5-mini-instruct,c,0.0,-1.5173,1.7696,False
sens_diff:2,0.075,0.0236,0.0327,0.1088,0.0273,0.1144,-0.0019,0.0,0.05,non-equivalent,social,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.0822,0.1169,False
fpr_diff:2,0.0054,0.0223,-0.0283,0.0432,-0.0331,0.0524,0.0002,0.96,0.05,equivalent,social,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.013,0.0192,False
delta_pp:1,-6.5881,2.6043,-10.6016,-2.2285,-11.4728,-1.3417,-0.0359,0.0,3.0,non-equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-3.8927,2.9036,True
sens_diff:1,0.0049,0.0154,-0.0204,0.0303,-0.0242,0.0362,0.0009,0.994,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0762,0.0293,-0.1215,-0.0276,-0.1315,-0.0172,-0.0005,0.0,0.05,non-equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.0385,0.0202,True
delta_pp:2,0.7118,1.8853,-2.4266,3.5503,-3.1133,4.1797,0.0015,0.642,3.0,inconclusive,social,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-1.5173,1.7696,False
sens_diff:2,0.0166,0.013,-0.0042,0.0384,-0.0057,0.0417,-0.0005,0.402,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.0822,0.1169,False
fpr_diff:2,0.006,0.0219,-0.0303,0.0383,-0.0374,0.0477,0.0001,0.964,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.013,0.0192,False
